1;679;485;432;Brandenburger Tor 1, Berlin, Germany 10117;246 Spruce Road, Dallas, TX 75201;2426;2
2;535;333;203;Forbidden City 4, Beijing, China 100006;Burj Khalifa 1, Dubai, UAE;1480;3
3;961;622;282;654 Maple Drive, Phoenix, AZ 85001;555 Mountain Street, Washington, DC 20001;3102;3
4;373;684;22;753 Willow Avenue, San Diego, CA 92101;Forbidden City 4, Beijing, China 100006;4629;3
5;192;575;88;CN Tower 301, Toronto, Canada M5V 2T6;654 Maple Drive, Phoenix, AZ 85001;3962;4
6;548;323;881;864 Palm Drive, San Jose, CA 95101;Brandenburger Tor 1, Berlin, Germany 10117;4856;3
7;201;375;607;Burj Khalifa 1, Dubai, UAE;864 Palm Drive, San Jose, CA 95101;2020;2
8;647;949;17;123 Main Street, New York, NY 10001;Marina Bay Sands 10, Singapore 018956;1567;3
9;541;245;880;Sagrada Família 401, Barcelona, Spain 08013;Champs-Élysées 75, Paris, France 75008;2796;4
10;632;926;129;666 Ocean Avenue, Miami, FL 33101;654 Maple Drive, Phoenix, AZ 85001;3875;2
11;157;873;478;Brandenburger Tor 1, Berlin, Germany 10117;333 River Road, Seattle, WA 98101;3334;3
12;893;738;694;Red Square 1, Moscow, Russia 109012;987 Cedar Lane, Philadelphia, PA 19101;3098;2
13;607;505;809;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;Burj Khalifa 1, Dubai, UAE;2786;3
14;84;725;911;753 Willow Avenue, San Diego, CA 92101;789 Pine Road, Chicago, IL 60601;2346;2
15;993;696;111;Marina Bay Sands 10, Singapore 018956;Taj Mahal, Agra, India 282001;1692;2
16;729;457;573;Table Mountain Rd, Cape Town, South Africa 8001;Burj Khalifa 1, Dubai, UAE;3445;4
17;238;330;719;789 Pine Road, Chicago, IL 60601;Shibuya Crossing 2, Tokyo, Japan 150-0043;3527;2
18;728;847;114;Taj Mahal, Agra, India 282001;555 Mountain Street, Washington, DC 20001;1566;4
19;378;51;704;159 Birch Street, San Antonio, TX 78201;Piazza San Marco 1, Venice, Italy 30124;4514;3
20;853;791;722;321 Elm Boulevard, Houston, TX 77001;Table Mountain Rd, Cape Town, South Africa 8001;4588;5
21;24;101;723;654 Maple Drive, Phoenix, AZ 85001;CN Tower 301, Toronto, Canada M5V 2T6;3597;3
22;745;682;118;246 Spruce Road, Dallas, TX 75201;555 Mountain Street, Washington, DC 20001;4189;5
23;749;124;41;Brandenburger Tor 1, Berlin, Germany 10117;Sagrada Família 401, Barcelona, Spain 08013;1064;2
24;825;31;184;456 Oak Avenue, Los Angeles, CA 90001;654 Maple Drive, Phoenix, AZ 85001;2083;3
25;251;638;190;789 Pine Road, Chicago, IL 60601;Table Mountain Rd, Cape Town, South Africa 8001;2511;3
26;715;368;860;Table Mountain Rd, Cape Town, South Africa 8001;789 Pine Road, Chicago, IL 60601;4026;4
27;868;761;33;Table Mountain Rd, Cape Town, South Africa 8001;Gyeongbokgung Palace 161, Seoul, South Korea 03045;3691;5
