1;197;899;418;321 Elm Boulevard, Houston, TX 77001;654 Maple Drive, Phoenix, AZ 85001;1241;4
2;510;562;65;Table Mountain Rd, Cape Town, South Africa 8001;Shibuya Crossing 2, Tokyo, Japan 150-0043;1406;2
3;345;265;229;333 River Road, Seattle, WA 98101;789 Pine Road, Chicago, IL 60601;2208;4
4;925;863;110;Red Square 1, Moscow, Russia 109012;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;4453;4
5;489;324;637;Table Mountain Rd, Cape Town, South Africa 8001;Marina Bay Sands 10, Singapore 018956;4033;2
6;393;523;607;333 River Road, Seattle, WA 98101;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;4101;5
7;308;258;650;Forbidden City 4, Beijing, China 100006;321 Elm Boulevard, Houston, TX 77001;4529;5
8;556;399;868;Sagrada Família 401, Barcelona, Spain 08013;864 Palm Drive, San Jose, CA 95101;4512;2
9;944;913;711;Gyeongbokgung Palace 161, Seoul, South Korea 03045;789 Pine Road, Chicago, IL 60601;1546;5
10;542;770;74;Sydney Opera House, Sydney, Australia 2000;Red Square 1, Moscow, Russia 109012;4564;4
11;311;624;555;Table Mountain Rd, Cape Town, South Africa 8001;Brandenburger Tor 1, Berlin, Germany 10117;3323;3
12;534;609;389;CN Tower 301, Toronto, Canada M5V 2T6;753 Willow Avenue, San Diego, CA 92101;4056;3
13;719;713;490;789 Pine Road, Chicago, IL 60601;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;1427;3
14;412;766;148;Marina Bay Sands 10, Singapore 018956;654 Maple Drive, Phoenix, AZ 85001;3198;3
15;77;526;508;654 Maple Drive, Phoenix, AZ 85001;Piazza San Marco 1, Venice, Italy 30124;4109;3
16;121;940;861;Marina Bay Sands 10, Singapore 018956;Marina Bay Sands 10, Singapore 018956;3332;2
17;264;320;54;Forbidden City 4, Beijing, China 100006;Taj Mahal, Agra, India 282001;4209;4
18;761;853;674;789 Pine Road, Chicago, IL 60601;321 Elm Boulevard, Houston, TX 77001;3464;2
19;57;708;401;159 Birch Street, San Antonio, TX 78201;159 Birch Street, San Antonio, TX 78201;2204;3
20;338;415;231;Sagrada Família 401, Barcelona, Spain 08013;Table Mountain Rd, Cape Town, South Africa 8001;4252;4
21;637;522;875;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;123 Main Street, New York, NY 10001;2386;3
22;908;814;763;Red Square 1, Moscow, Russia 109012;666 Ocean Avenue, Miami, FL 33101;4465;5
23;645;800;133;666 Ocean Avenue, Miami, FL 33101;987 Cedar Lane, Philadelphia, PA 19101;3221;4
24;376;415;331;456 Oak Avenue, Los Angeles, CA 90001;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;3679;2
25;316;414;361;Brandenburger Tor 1, Berlin, Germany 10117;753 Willow Avenue, San Diego, CA 92101;3579;2
26;102;699;224;666 Ocean Avenue, Miami, FL 33101;555 Mountain Street, Washington, DC 20001;2058;5
27;944;942;748;333 River Road, Seattle, WA 98101;Sagrada Família 401, Barcelona, Spain 08013;3221;4
28;638;192;624;Sagrada Família 401, Barcelona, Spain 08013;Champs-Élysées 75, Paris, France 75008;1718;4
29;977;248;121;444 Lake View, Denver, CO 80201;Taj Mahal, Agra, India 282001;2049;2
30;874;767;689;456 Oak Avenue, Los Angeles, CA 90001;Marina Bay Sands 10, Singapore 018956;1286;3
31;507;765;21;Taj Mahal, Agra, India 282001;159 Birch Street, San Antonio, TX 78201;3205;5
