1;1DYQ5YV5V5;F685QU34;GMC;Savana;968552
2;WRWZS5QVZS;I393VG64;Chrysler;Pacifica;731054
3;FYRSRR6HJH;T274YG32;Skoda;Kodiaq;89665
4;JLCZ31WYBB;S468QJ71;Aston Martin;DBX;127463
5;VBTJSQEDR5;C675TJ22;Bentley;Arnage;700908
6;X6M2O7T386;K909PJ86;Porsche;911;683781
7;HYBZKAEOPV;W889HQ99;Chevrolet;Camaro;714337
8;0QY01UTL23;B385KJ26;Lincoln;Corsair;534327
9;AAHT00IENN;U409AA25;Ferrari;488;729737
10;M9YGV7D4IM;S928DP58;Volvo;V60;911370
11;NSE3UFZMAD;K582FQ58;Dodge;Challenger;55206
12;WEZ2VPHHUP;Z521WC19;Ferrari;812 Superfast;747076
13;O9918YI1K7;E324BX85;Mercedes-Benz;GLA;794877
14;QJP69E03GW;O717CY46;Skoda;Kodiaq;1364
15;GCQ2RR7QQV;Z905XX62;Bugatti;Centodieci;501608
16;E09KDLXPS8;O702CC16;Chevrolet;Tahoe;712530
17;QIIF2QBHUN;R533WI72;Nissan;Sentra;277489
18;FRFLWJI6GO;K707BF19;Lexus;RC;931075
19;66RQLKZLP0;M571HG64;Rolls-Royce;Corniche;792537
20;K0C3P2Q9D0;A404GI13;Nissan;Armada;11922
21;05RFYYO8DU;C287WV42;Mercedes-Benz;GLE;815166
22;CGXMO9Z2XO;Q996JY17;Lincoln;MKC;869203
23;KHAXUTDO25;I428QX17;Audi;A3;373844
24;GDGRYUTW10;Y242LD78;Mazda;MX-5 Miata;32593
25;2SKTX9DDMX;N954SL26;Nissan;Leaf;801417
26;UPU4CJGTS4;X670RB55;Ferrari;Enzo;905664
27;Z1IAMZS3AN;I536NY25;Bentley;Bentayga;264702
28;DRT23OEMAO;M770SA61;Kia;Telluride;531483
29;ASZK8GUD1W;A284DG29;Chrysler;300;498259
30;KNXGQDE8PE;I124AL57;Cadillac;XT6;599468
31;BG8I0TG9WW;L569FR18;Toyota;Sienna;826664
